id,title,overview,genres,poster_path,vote_average
157336,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"Adventure, Drama, Science Fiction",/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,8.453
1035048,Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,"Action, Science Fiction, Thriller",/tnfc0NJ3BzhJrGJhkkEd6MHBdq5.jpg,6.485
278,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","Drama, Crime",/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,8.708
972533,Last Breath,Seasoned deep-sea divers battle the raging elements to rescue their crewmate trapped hundreds of feet below the ocean's surface.,"Thriller, Drama",/w04Xg5Bnqj7ECdCxTsHgqK6AtJW.jpg,6.156
937393,Bloat,"After a near-death drowning accident, a young boy's family is horrified to discover he has become possessed by a legendary demon from the depths of the lake. As the family races against time to save the boy's soul, the evil monster inside the child tears the family apart as it seeks to destroy everyone in its path.",Horror,/nlutnb8dO390fo5zkRayYiVuKdU.jpg,4.6
1294203,My Fault: London,"18-year-old Noah moves from America to London, with her mother who's recently fallen in love with William, a wealthy British businessman. Noah meets William’s son, bad-boy Nick, and soon discovers there is an attraction between them neither can avoid. As Noah spends the summer adjusting to her new life, her devastating past will catch up with her while falling in love for the first time.","Romance, Drama",/ttN5D6GKOwKWHmCzDGctAvaNMAi.jpg,7.5
1333099,Dalia and the Red Book,"Dalia, the daughter of a famous writer who has recently died, inherits the legacy of finishing his book. To do this, Dalia will become part of the book and will come face to face with the characters who have taken the theme of the book in order to be the protagonists.","Adventure, Drama, Fantasy, Animation",/oyGyAQZOj7NzyLxCZX7FHKYELP1.jpg,7.3
170,28 Days Later,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.","Horror, Thriller, Science Fiction",/sQckQRt17VaWbo39GIu0TMOiszq.jpg,7.23
674,Harry Potter and the Goblet of Fire,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.","Adventure, Fantasy",/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,7.801
804862,Bring Them Down,"When the ongoing rivalry between farmers Michael and Jack suddenly escalates, it triggers a chain of events that take increasingly violent and devastating turns, leaving both families permanently altered.","Drama, Thriller",/2jskL5eOFTQknpRalJ4chVYyuFo.jpg,6.7
